##########################################################################################################################################
# This is the online data table for the paper Li et. al (2018)
# "SDSS-IV MaNGA: Global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass-size plane"
#
# Table title: Properties of all the galaxies in the sample of Li et al. (2018)
##########################################################################################################################################
#  MaNGA ID  | Morphology | logsigma_e | logM_{1/2} | logR_e | logAge |  [Z/H]  | logM^*/L | Delta logAge | Delta [Z/H] | Delta logM^*/L |
#            |            |    km/s    |    M_sun   |   kpc  |  years |         |          |              |             |
#     (1)    |     (2)    |    (3)     |     (4)    |   (5)  |   (6)  |   (7)   |    (8)   |     (9)      |     (10)    |       (11)     |
##########################################################################################################################################
1-167113           S           1.81        10.23       0.84     9.13     -0.77      0.29        -0.15          -0.14                -0.08
1-167080           S           1.91        10.32       0.67     9.56     -0.27      0.47        -0.10          -0.34                +0.02
1-166754           S           1.72         9.90       0.79     9.28     -0.97      0.27        +0.09          -0.23                +0.16
1-167044           E           2.38        11.37       0.86     9.98     +0.06      0.78        -0.10          -0.08                -0.11
1-166947           S           2.00        10.93       1.28     9.73     -0.03      0.63        -0.60          -0.31                -0.27
1-283711           S           2.13        11.00       1.01     9.57     +0.16      0.47        -0.18          -0.01                -0.13
1-259117           E           2.35        11.12       0.76     9.90     +0.06      0.73        -0.30          -0.05                -0.19
1-259175           S           1.99        10.53       0.87     9.39     -0.46      0.52        -0.07          -0.50                +0.04
1-259142           S           2.32        11.42       1.13     9.78     -0.02      0.64        -0.48          -0.27                -0.31
1-259537           S           2.20        11.20       0.94     9.35     -0.32      0.49        -0.35          -0.57                -0.14
1-284174           E           1.68         9.56       0.46     9.66     -0.32      0.44        +0.13          -0.36                +0.02
1-259108           S           2.20        11.34       1.26     9.52     -0.29      0.54        +0.05          -0.32                +0.07
1-284230           E           2.04        10.49       0.65     9.82     -0.25      0.55        +0.12          -0.22                +0.04
1-259538           E           2.09        10.34       0.45     9.81     -0.02      0.63        +0.15          -0.11                +0.09
1-258311           E           1.77         9.56       0.23     9.20     -0.82      0.30        +0.04          +0.05                +0.05
1-258380           E           2.18        10.93       0.86     9.10     -0.41      0.29        +0.13          +0.05                +0.04
1-575845           E           2.39        11.59       1.02     9.94     +0.13      0.77        -0.17          +0.05                -0.09
1-282151           E           2.28        10.53       0.35     9.83     +0.11      0.67        -0.15          -0.09                -0.18
1-258455           E           2.30        11.25       0.93     9.86     -0.11      0.65        +0.05          -0.19                -0.02
1-258425           E           2.30        11.52       1.24     9.83     -0.01      0.64        -0.11          -0.11                -0.13
1-282144           S           1.90        10.78       1.23     9.29     -0.67      0.28        -0.17          -0.19                -0.27
1-258315           S           1.86        10.14       0.57     9.42     -0.40      0.38        -0.25          -0.40                -0.14
1-575838           E           2.18        10.85       0.84     9.44     -0.26      0.40        +0.00          -0.52                -0.09
1-281439           E           2.26        11.10       0.86     9.90     +0.07      0.72        -0.26          +0.02                -0.18
1-258118           E           2.41        11.62       1.08     9.78     +0.12      0.64        -0.25          +0.13                -0.17
1-258685           E           2.30        11.38       0.99     9.75     +0.14      0.62        -0.23          -0.00                -0.19
1-575847           S           2.05        10.79       1.00     9.22     -0.75      0.29        -0.24          -0.24                -0.14
1-258477           E           2.46        11.58       0.92     9.95     +0.13      0.77        -0.20          +0.04                -0.12
1-211100           E           2.26        10.77       0.56     9.81     +0.05      0.65        -0.05          -0.20                -0.10
1-558910           E           2.32        11.34       1.04     9.83     +0.07      0.69        -0.19          -0.09                -0.13
1-587938           E           2.37        11.45       0.96     9.97     +0.02      0.76        -0.16          -0.13                -0.16
1-256456           S           2.01        10.86       0.96     9.51     -0.11      0.50        -0.37          -0.18                -0.09
1-256048           E           2.44        11.61       1.03     9.76     +0.07      0.63        -0.03          -0.21                -0.12
1-255676           E           1.78         9.73       0.36     9.42     -0.50      0.34        -0.10          -0.38                +0.01
1-277103           S           2.09        10.54       0.62     9.68     +0.02      0.55        -0.15          -0.28                -0.08
1-278485           E           2.39        11.39       0.86     9.84     +0.15      0.71        -0.07          -0.11                -0.06
1-256465           E           2.29        11.01       0.73     9.89     -0.09      0.68        -0.05          -0.29                -0.09
1-278490           S           1.83        10.51       1.01     9.18     -0.70      0.28        -0.02          -0.10                -0.03
1-277858           E           2.38        11.13       0.67    10.00     +0.05      0.82        -0.02          -0.08                -0.06
1-38103            E           1.84         9.74       0.29     9.57     -0.15      0.43        +0.18          -0.28                +0.06
1-38155            S           1.57         9.58       0.59     9.09     -0.93      0.40        -0.06          +0.06                -0.25
1-37973            S           1.66         9.60       0.51     9.35     -0.87      0.29        -0.14          -0.04                -0.06
1-604037           E           1.79         9.65       0.34     9.44     -0.02      0.37        +0.14          -0.33                +0.06
1-38101            S           2.24        11.09       1.10     9.56     -0.04      0.53        -0.04          -0.26                -0.06
1-109308           S           2.29        11.64       1.27     9.53     -0.06      0.52        -0.32          -0.33                -0.11
1-38167            E           2.18        10.72       0.68     9.67     +0.11      0.55        -0.21          -0.19                -0.20
1-37996            S           1.56         9.20       0.29     9.22     -1.00      0.08        +0.07          +0.05                +0.05
1-604017           S           1.94        10.60       0.87     9.49     -0.52      0.44        -0.84          -0.64                -0.36
1-38042            S           1.94        10.37       0.80     9.28     -0.59      0.40        -0.16          -0.23                -0.09
1-38374            E           1.78         9.71       0.41     9.21     +0.07      0.19        +0.21          -0.39                +0.19
1-38217            E           2.31        11.22       0.93     9.83     +0.08      0.69        -0.25          -0.05                -0.22
1-43629            E           1.70         9.37       0.27     9.31     -0.18      0.33        +0.08          +0.12                +0.04
1-44483            E           2.10        10.51       0.67     9.79     -0.11      0.59        -0.03          -0.38                -0.03
1-44047            E           2.10        10.34       0.35     9.78     +0.06      0.63        -0.14          +0.05                -0.11
1-44013            S           1.98        10.42       0.79     9.61     -0.31      0.62        -0.16          -0.66                -0.02
1-43823            S           1.83        10.31       0.88     9.32     -0.65      0.38        +0.07          -0.16                -0.00
1-44044            E           1.86         9.96       0.43     9.58     +0.02      0.45        -0.07          +0.02                -0.05
1-44015            E           2.34        11.45       1.09     9.92     +0.06      0.73        -0.23          -0.12                -0.19
1-44565            S           1.79        10.18       0.90     9.18     -0.91      0.23        -0.14          -0.14                -0.18
1-72322            S           2.41        11.86       1.29     9.75     +0.00      0.65        -0.25          -0.10                -0.16
1-44479            E           2.31        11.27       0.95     9.75     -0.00      0.66        -0.01          +0.09                -0.04
1-72339            S           1.78        10.26       0.92     9.54     -0.53      0.42        +0.06          -0.20                -0.06
1-44463            S           1.83        10.32       0.80     9.30     -0.59      0.47        -0.18          -0.19                -0.06
1-44447            E           1.60         9.53       0.53     9.37     -0.24      0.36        +0.16          +0.15                +0.00
1-277154           S           1.54         9.14       0.29     9.65     -0.07      0.48        +0.09          -0.07                +0.06
1-256048           E           2.43        11.62       1.03     9.80     +0.02      0.66        -0.22          -0.04                -0.14
1-277159           E           1.78         9.82       0.50     9.78     -0.07      0.60        +0.07          -0.22                +0.00
1-256457           E           1.77         9.69       0.30     9.83     -0.26      0.56        +0.39          -0.55                +0.13
1-277161           E           2.19        10.61       0.50     9.82     -0.01      0.63        -0.08          -0.13                -0.12
1-277691           S           1.76         9.92       0.60     9.10     -0.85      0.22        -0.06          +0.02                +0.00
1-256456           S           2.02        10.89       0.94     9.59     -0.13      0.62        -0.26          -0.27                -0.10
1-277103           S           2.09        10.55       0.62     9.67     +0.03      0.56        -0.19          -0.10                -0.09
1-278485           E           2.39        11.37       0.86     9.84     +0.17      0.71        -0.07          -0.04                -0.06
1-558910           E           2.33        11.35       1.04     9.81     +0.10      0.69        -0.14          -0.14                -0.16
1-587938           E           2.37        11.45       0.96     9.97     +0.03      0.76        -0.22          -0.08                -0.16
1-277858           E           2.37        11.12       0.67    10.01     +0.08      0.83        -0.01          -0.03                -0.07
1-137890           S           1.99        10.13       0.42     9.34     -0.74      0.43        +0.02          -0.03                -0.00
1-155456           E           2.26        11.21       0.95     9.94     -0.12      0.73        -0.02          -0.22                -0.03
1-155558           E           1.76         9.82       0.51     9.27     -0.93      0.33        +0.28          +0.37                -0.04
1-137915           E           1.95        10.07       0.40     9.78     -0.05      0.58        +0.03          -0.21                -0.01
1-155440           E           2.14        10.81       0.80     9.67     -0.33      0.60        -0.10          -0.37                +0.00
1-567155           S           1.98        10.73       0.95     9.54     -0.25      0.52        -0.75          -0.48                -0.24
1-137875           S           1.66         9.87       0.71     9.03     -1.00      0.22        -0.15          -0.11                -0.06
1-137801           E           2.35        11.29       0.87     9.86     +0.02      0.68        -0.23          -0.21                -0.24
1-155337           S           1.70         9.77       0.61     9.18     -1.13      0.17        -0.01          +0.06                -0.05
1-137908           S           2.01        10.91       1.08     9.38     -0.21      0.44        -0.55          -0.35                -0.25
1-155463           S           1.91        10.22       0.70     9.33     -0.37      0.42        -0.08          +0.27                -0.18
1-137883           S           2.08        10.56       0.63     9.51     -0.42      0.44        +0.28          -0.17                +0.03
1-137845           E           2.32        11.24       0.88     9.87     +0.09      0.71        -0.24          -0.01                -0.17
1-137853           E           2.32        11.18       0.85     9.90     +0.07      0.73        -0.21          -0.19                -0.18
1-155541           E           2.31        11.13       0.77     9.82     +0.14      0.68        -0.12          -0.03                -0.11
1-137961           E           1.62         9.56       0.52     9.38     -0.61      0.42        +0.36          +0.46                +0.08
1-277154           S           1.48         9.06       0.29     9.66     -0.05      0.49        +0.05          -0.10                +0.02
1-256048           E           2.43        11.61       1.03     9.76     +0.06      0.63        -0.20          -0.01                -0.13
1-277159           S           1.79         9.79       0.50     9.75     -0.02      0.57        +0.09          -0.23                +0.04
1-256457           E           1.77         9.67       0.30     9.98     -0.42      0.62        +0.24          -0.53                +0.06
1-277161           E           2.19        10.61       0.50     9.80     +0.04      0.63        -0.17          -0.07                -0.19
1-277691           S           1.73         9.92       0.60     9.15     -0.73      0.19        -0.08          +0.12                -0.08
1-256456           S           2.02        10.90       0.94     9.58     -0.19      0.58        -0.40          -0.26                -0.17
1-277103           S           2.08        10.54       0.63     9.66     +0.07      0.54        -0.15          -0.17                -0.08
1-278485           E           2.37        11.34       0.86     9.84     +0.12      0.69        +0.00          -0.15                -0.05
